orgId_n,n_experiments,n_has_media_label,n_covered_for_chem_encoding,pct_covered_for_chem_encoding
SyringaeB728a,46,23,23,50.0
RalstoniaBSBF1503,8,5,5,62.5
RalstoniaPSI07,8,5,5,62.5
RalstoniaGMI1000,7,5,5,71.42857142857143
Dda3937,58,48,48,82.75862068965517
Btheta,519,499,499,96.14643545279384
Burk376,30,30,30,100.0
Caulo,198,198,198,100.0
Ddia6719,33,33,33,100.0
DdiaME23,69,69,69,100.0
Dino,186,186,186,100.0
DvH,757,757,757,100.0
Dyella79,68,68,68,100.0
HerbieS,96,96,96,100.0
BFirm,113,113,113,100.0
ANA3,107,107,107,100.0
Keio,168,168,168,100.0
Kang,108,108,108,100.0
Korea,162,162,162,100.0
Koxy,208,208,208,100.0
Marino,255,255,255,100.0
Methanococcus_JJ,129,129,129,100.0
MR1,176,176,176,100.0
Magneto,36,36,36,100.0
Miya,178,178,178,100.0
Methanococcus_S2,371,371,371,100.0
PS,79,79,79,100.0
PV4,160,160,160,100.0
Phaeo,274,274,274,100.0
Pedo557,177,177,177,100.0
Cola,202,202,202,100.0
Cup4G11,106,106,106,100.0
Ponti,104,104,104,100.0
Putida,300,300,300,100.0
SB2B,190,190,190,100.0
RalstoniaUW163,6,6,6,100.0
Smeli,90,90,90,100.0
SynE,129,129,129,100.0
SyringaeB728a_mexBdelta,23,23,23,100.0
WCS417,201,201,201,100.0
acidovorax_3H11,140,140,140,100.0
azobra,91,91,91,100.0
psRCH2,350,350,350,100.0
pseudo13_GW456_L13,106,106,106,100.0
pseudo1_N1B4,147,147,147,100.0
pseudo3_N2E3,211,211,211,100.0
pseudo5_N2C3_1,184,184,184,100.0
pseudo6_N2E2,188,188,188,100.0
